age,female,education_num,hours_per_week,government,self_employed,white_collar,blue_collar,service,capital_gain,capital_loss,married,income
39,0,13,40,1,0,1,0,0,2174,0,0,0
50,0,13,13,0,1,1,0,0,0,0,1,0
38,0,9,40,0,0,0,1,0,0,0,0,0
53,0,7,40,0,0,0,1,0,0,0,1,0
28,1,13,40,0,0,1,0,0,0,0,1,0
37,1,14,40,0,0,1,0,0,0,0,1,0
49,1,5,16,0,0,0,0,1,0,0,0,0
52,0,9,45,0,1,1,0,0,0,0,1,1
31,1,14,50,0,0,1,0,0,14084,0,0,1
42,0,13,40,0,0,1,0,0,5178,0,1,1
37,0,10,80,0,0,1,0,0,0,0,1,1
30,0,13,40,1,0,1,0,0,0,0,1,1
23,1,13,30,0,0,1,0,0,0,0,0,0
32,0,12,50,0,0,0,0,0,0,0,0,0
40,0,11,40,0,0,0,1,0,0,0,1,1
34,0,4,45,0,0,0,1,0,0,0,1,0
25,0,9,35,0,1,0,1,0,0,0,0,0
32,0,9,40,0,0,0,1,0,0,0,0,0
38,0,7,50,0,0,0,0,0,0,0,1,0
43,1,14,45,0,1,1,0,0,0,0,0,1
40,0,16,60,0,0,1,0,0,0,0,1,1
54,1,9,20,0,0,0,0,1,0,0,0,0
35,0,5,40,1,0,0,1,0,0,0,1,0
43,0,7,40,0,0,0,1,0,0,2042,1,0
59,1,9,40,0,0,1,0,0,0,0,0,0
56,0,13,40,1,0,1,0,0,0,0,1,1
19,0,9,40,0,0,0,1,0,0,0,0,0
54,0,10,60,0,0,0,0,0,0,0,1,1
39,0,9,80,0,0,1,0,0,0,0,0,0
49,0,9,40,0,0,0,1,0,0,0,1,0
23,0,12,52,1,0,0,0,1,0,0,0,0
20,0,10,44,0,0,0,0,0,0,0,0,0
45,0,13,40,0,0,1,0,0,0,1408,0,0
30,0,10,40,1,0,1,0,0,0,0,1,0
22,0,10,15,1,0,0,0,1,0,0,1,0
48,0,7,40,0,0,0,1,0,0,0,0,0
21,0,10,40,0,0,0,1,0,0,0,0,0
19,1,9,25,0,0,1,0,0,0,0,1,0
31,0,10,38,0,0,0,0,0,0,0,1,1
48,0,12,40,0,1,1,0,0,0,0,1,0
31,0,5,43,0,0,0,1,0,0,0,1,0
53,0,13,40,0,1,1,0,0,0,0,1,0
24,0,13,50,0,0,1,0,0,0,0,1,0
49,1,9,40,0,0,1,0,0,0,0,0,0
25,0,9,35,0,0,0,1,0,0,0,0,0
