GrLivArea,BedroomAbvGr,FullBath,HalfBath,OverallQual,OverallCond,YearBuilt,YearRemodAdd,LotArea,GarageArea,nbhd_high,nbhd_mid,SalePrice
1710,3,2,1,7,5,2003,2003,8450,548,0,1,208500
1262,3,2,0,6,8,1976,1976,9600,460,1,0,181500
1786,3,2,1,7,5,2001,2002,11250,608,0,1,223500
1717,3,1,0,7,5,1915,1970,9550,642,0,1,140000
2198,4,2,1,8,5,2000,2000,14260,836,1,0,250000
1362,1,1,1,5,5,1993,1995,14115,480,0,1,143000
1694,3,2,0,8,5,2004,2005,10084,636,0,1,307000
2090,3,2,1,7,6,1973,1973,10382,484,0,1,200000
1774,2,2,0,7,5,1931,1950,6120,468,0,0,129900
1077,2,1,0,5,6,1939,1950,7420,205,0,0,118000
1040,3,1,0,5,5,1965,1965,11200,384,0,0,129500
2324,4,3,0,9,5,2005,2006,11924,736,1,0,345000
912,2,1,0,5,6,1962,1962,12968,352,0,0,144000
1494,3,2,0,7,5,2006,2007,10652,840,0,1,279500
1253,2,1,1,6,5,1960,1960,10920,352,0,0,157000
854,2,1,0,7,8,1929,2001,6120,576,0,0,132000
1004,2,1,0,6,7,1970,1970,11241,480,0,0,149000
1296,2,2,0,4,5,1967,1967,10791,516,0,0,90000
1114,3,1,1,5,5,2004,2004,13695,576,0,1,159000
1339,3,1,0,5,6,1958,1965,7560,294,0,0,139000
2376,4,3,1,8,5,2005,2006,14215,853,1,0,325300
1108,3,1,0,7,7,1930,1950,7449,280,0,0,139400
1795,3,2,0,8,5,2002,2002,9742,534,0,1,230000
1060,3,1,0,5,7,1976,1976,4224,572,0,0,129900
1060,3,1,0,5,8,1968,2001,8246,270,0,0,154000
1600,3,2,0,8,5,2007,2007,14230,890,1,0,256300
900,3,1,0,5,7,1951,2000,7200,576,0,0,134800
1704,3,2,0,8,5,2007,2008,11478,772,1,0,306000
1600,2,1,0,5,6,1957,1997,16321,319,0,0,207500
520,1,1,0,4,6,1927,1950,6324,240,0,0,68500
1317,3,1,0,4,4,1920,1950,8500,250,0,0,40000
1228,3,1,1,5,6,1966,2006,8544,271,0,0,149350
1234,3,2,0,8,5,2007,2007,11049,484,0,1,179900
1700,4,1,1,5,5,1959,1959,10552,447,0,0,165500
1561,2,2,0,9,5,2005,2005,7313,556,1,0,277500
2452,4,3,1,8,5,2004,2005,13418,691,1,0,309000
1097,3,1,1,5,5,1994,1995,10859,672,0,1,145000
1297,3,1,0,5,6,1954,1990,8532,498,0,0,153000
1057,3,1,0,5,7,1953,2007,7922,246,0,0,109000
1152,2,2,0,4,5,1955,1955,6040,0,0,0,82000
1324,3,2,0,6,5,1965,1965,8658,440,0,0,160000
1328,2,1,1,5,6,1959,1959,16905,308,1,0,170000
884,2,1,0,5,7,1983,1983,9180,504,0,1,144000
938,3,1,0,5,6,1975,1980,9200,308,0,1,130250
1150,3,1,0,5,6,1959,1959,7945,300,0,0,141000
1752,2,2,0,9,5,2005,2005,7658,576,1,0,319900
2149,1,1,1,7,5,2003,2003,12822,670,0,1,239686
1656,3,2,0,8,5,2006,2006,11096,826,0,1,249700
1452,2,2,0,4,5,1920,2008,4456,0,0,0,113000
955,3,1,0,5,7,1966,1966,7742,386,0,0,127000
1470,3,2,0,6,6,1997,1997,13869,388,0,1,177000
1176,3,1,0,6,6,1934,1950,6240,528,0,0,114500
816,2,1,0,5,5,1963,1963,8472,516,0,0,110000
1842,0,0,1,9,5,1981,1987,50271,894,1,0,385000
1360,3,1,0,5,5,1955,1955,7134,572,0,0,130000
1425,3,2,0,6,5,1964,1964,10175,576,0,0,180500
1739,3,2,1,8,5,1999,2000,2645,480,0,1,172500
1720,3,2,1,7,5,2004,2004,11645,565,0,1,196500
2945,3,3,1,10,5,2006,2006,13682,641,1,0,438780
780,2,1,0,5,7,1972,1972,7200,352,0,1,124900
1158,3,1,1,6,5,2004,2004,13072,576,0,1,158000
1111,3,1,0,5,7,1920,1996,7200,288,0,0,101000
1370,2,2,0,8,5,2006,2006,6442,484,1,0,202500
1710,3,2,0,7,6,1921,1950,10300,480,0,0,140000
2034,3,2,1,7,5,1997,1998,9375,645,0,1,219500
2473,4,2,1,8,5,2004,2005,9591,852,1,0,317000
2207,3,2,0,7,5,1970,1989,19900,576,0,0,180000
1479,3,2,0,7,5,2003,2003,10665,558,0,1,226000
747,2,1,0,4,6,1945,1950,4608,220,0,0,80000
2287,3,2,0,7,4,1953,1953,15593,667,0,1,225000
2223,3,2,0,7,6,1973,1973,13651,516,0,0,244000
845,2,1,0,4,6,1982,2006,7599,360,0,1,129500
1718,3,2,1,7,5,1998,1998,10141,427,0,1,185000
1086,3,1,0,5,7,1954,2003,10200,490,0,0,144900
1605,3,2,0,3,6,1915,1950,5790,379,0,0,107400
988,2,1,0,4,5,1973,1973,1596,297,0,0,91000
952,2,1,0,4,7,1956,1956,8475,283,0,0,135750
1285,2,1,0,5,5,1948,2001,8635,240,0,0,127000
1768,4,2,0,4,5,1968,1968,10778,0,0,0,136500
1230,2,1,1,5,6,1910,1981,10440,440,0,0,110000
2142,4,2,1,6,6,1968,1968,13000,509,0,0,193500
1337,2,2,0,6,5,1998,1998,4500,405,0,1,153500
1563,3,2,0,8,5,2007,2007,10206,758,0,1,245000
1065,3,1,1,5,5,1960,1960,8892,461,0,0,126500
1474,3,2,1,7,5,1995,1996,8530,400,0,1,168500
2417,4,2,1,8,5,1991,1992,16059,462,1,0,260000
1560,3,2,1,6,5,2005,2005,11911,400,0,1,174000
1224,2,2,1,6,5,2009,2009,3951,528,0,1,164500
1526,2,1,0,3,2,1915,1982,8470,0,0,0,85000
990,3,1,0,4,5,1994,1995,8070,0,0,1,123600
1040,2,1,0,4,5,1950,1950,7200,420,0,0,109900
1235,2,1,0,5,3,1961,1961,8500,480,0,0,98600
964,2,1,0,5,7,1921,2006,13360,432,0,1,163500
2291,4,2,0,6,6,1910,1998,7200,506,0,0,133900
1786,3,2,1,6,5,1997,1997,9337,684,0,1,204750
1470,3,2,1,6,8,1993,1993,9765,420,0,1,185000
1588,3,2,0,7,5,1999,1999,10264,472,0,1,214000
960,3,1,0,4,5,1965,1965,10921,432,0,0,94750
835,2,1,0,5,5,1920,1950,10625,366,0,0,83000
