age,female,education,married,avg_pay_status,months_delayed,avg_bill_amt,avg_pay_amt,pay_ratio,default
24,1,2,1,-0.3333333333333333,2,1284.0,114.83333333333333,0.0893644617380026,1
26,1,2,0,0.5,2,2846.1666666666665,833.3333333333334,0.2926886378270796,1
34,1,2,0,0.0,0,16942.166666666668,1836.3333333333333,0.10838194355639932,0
37,1,2,1,0.0,0,38555.666666666664,1398.0,0.03625832108584767,0
57,0,2,1,-0.3333333333333333,0,18223.166666666668,9841.5,0.5400246924870822,0
37,0,1,0,0.0,0,39685.666666666664,1295.3333333333333,0.032639005543423485,0
29,0,1,0,0.0,0,454099.1666666667,30126.5,0.0663432921003846,0
23,1,2,0,-0.5,0,2247.6666666666665,798.5,0.35509931811443823,0
28,1,3,1,0.3333333333333333,1,10868.666666666666,1126.8333333333333,0.10366769910147505,0
35,0,3,0,-1.6666666666666667,0,4486.5,2354.8333333333335,0.5247539461467038,0
34,1,3,0,0.16666666666666666,1,5744.5,1078.6666666666667,0.18774113073999943,0
51,1,1,0,-0.5,1,14728.166666666666,11051.333333333334,0.7503026874115983,0
41,1,2,0,-0.8333333333333334,0,6834.5,3895.0,0.5698193255796943,0
30,0,2,0,1.1666666666666667,4,56447.5,1783.3333333333333,0.03159221827565539,1
29,0,1,0,0.0,0,62265.166666666664,3000.0,0.04818025840678592,0
23,1,3,0,0.5,2,32736.0,1033.3333333333333,0.03156469234607121,0
24,0,1,0,1.3333333333333333,4,17693.5,1058.3333333333333,0.05981142916348771,1
49,0,1,1,-0.5,0,161002.33333333334,60316.166666666664,0.37462681932051095,0
49,1,1,1,-1.5,1,0.0,0.0,0.0,0
29,1,1,0,-1.5,1,0.0,0.0,0.0,0
39,1,3,0,-0.16666666666666666,0,20647.166666666668,7038.5,0.34087772118590026,0
39,1,2,1,-1.0,0,316.0,263.3333333333333,0.8307045215562565,1
26,1,2,0,1.3333333333333333,4,44245.833333333336,1835.0,0.041471894410522785,1
40,1,1,1,-2.0,0,4494.166666666667,3764.8333333333335,0.837529198027511,1
23,0,1,0,-0.16666666666666666,0,5310.666666666667,2733.3333333333335,0.5145905240037653,0
23,0,3,0,0.0,0,35715.833333333336,1315.1666666666667,0.03682204002781135,0
27,0,1,0,-0.8333333333333334,1,-65.66666666666667,416.6666666666667,1.0,1
30,1,3,0,0.0,0,18711.333333333332,1185.3333333333333,0.06334503090653223,0
47,1,3,1,-1.0,0,6701.333333333333,6594.5,0.9839110757447656,0
26,0,1,0,0.0,0,16180.333333333334,1100.0,0.06797956493078444,0
27,1,1,0,-1.0,0,18957.666666666668,16248.166666666666,0.8570310851677332,0
33,0,2,0,0.3333333333333333,1,25311.5,1155.6666666666667,0.0456559670781893,1
32,0,1,0,0.0,0,82539.5,3124.0,0.03784808669683368,0
54,1,2,1,-2.0,0,20957.333333333332,26417.0,1.0,0
58,0,1,1,-2.0,0,9719.666666666666,7570.833333333333,0.7788388999382758,0
30,0,1,0,-1.5,0,4218.666666666667,380.0,0.09005450667509281,0
40,0,2,1,0.0,0,178329.5,6987.166666666667,0.03918099633358661,0
22,1,2,0,-0.16666666666666666,0,5379.833333333333,8891.5,1.0,0
25,0,1,0,-1.1666666666666667,1,130.0,130.0,0.9923664122137404,1
31,0,1,0,-0.3333333333333333,1,8607.166666666666,6226.166666666667,0.7232860268349823,0
33,0,1,0,0.0,0,275125.1666666667,40640.0,0.14771404876671732,0
25,1,1,0,0.0,0,65476.0,3223.6666666666665,0.04923357311218698,0
22,0,2,0,0.0,0,3793.5,1204.5,0.31743312689418896,0
37,1,2,1,0.0,0,64189.0,3333.3333333333335,0.05192916861401049,0
30,1,1,0,0.3333333333333333,1,24530.833333333332,2166.6666666666665,0.08832061742905477,0
29,0,1,0,-2.0,0,0.0,0.0,0.0,1
22,1,1,0,0.16666666666666666,1,13221.333333333334,3345.8333333333335,0.25304409206645323,1
46,1,4,0,-0.5,0,1639.5,363.8333333333333,0.22178197703952046,1
32,0,2,0,-1.0,0,19135.833333333332,15555.333333333334,0.8128478240043199,0
24,0,1,0,0.0,0,19301.666666666668,1041.0,0.053930372314706085,0
42,0,3,0,1.5,5,38168.666666666664,1350.0,0.035368398990472366,1
43,1,3,0,0.0,0,44197.5,1601.0,0.036222948742604386,0
49,1,2,1,-2.0,0,7354.166666666667,5111.333333333333,0.6949310008837325,0
25,1,1,0,0.5,2,43191.833333333336,1707.6666666666667,0.03953587979487338,0
29,1,1,0,0.3333333333333333,1,29458.5,2144.5,0.07279485395203585,0
45,1,1,1,-2.0,0,1398.0,1080.5,0.772337383845604,0
34,1,3,1,-0.5,0,9234.0,4863.166666666667,0.5266016964446851,0
34,1,2,1,0.0,0,158727.0,5677.0,0.035765586411975206,0
34,1,1,0,1.6666666666666667,5,1124.5,316.6666666666667,0.28135643417740264,0
29,1,2,1,0.0,0,380690.0,18171.5,0.0477329382622652,0
28,1,3,1,0.0,0,18283.166666666668,1469.3333333333333,0.08036096805068137,1
39,0,2,1,-0.16666666666666666,0,40707.0,2020.0,0.04962169598113393,0
29,0,1,0,2.0,6,26279.0,1020.8333333333334,0.03884449518011162,1
46,1,2,1,-1.0,0,9647.333333333334,166.66666666666666,0.017274140611504576,1
51,1,2,1,-1.3333333333333333,0,408.6666666666667,392.1666666666667,0.9572823433685923,0
57,0,1,1,-0.5,2,78272.66666666667,1587.0,0.020275017992428274,1
56,0,2,1,1.0,3,3808.6666666666665,501.6666666666667,0.1316825619039286,1
30,1,1,0,-0.5,1,1431.5,1533.0,1.0,0
29,1,3,0,-0.5,2,1316.8333333333333,6896.5,1.0,0
22,0,4,0,0.3333333333333333,1,14721.0,616.6666666666666,0.041887424715844765,0
31,0,1,0,-1.0,0,390.0,325.0,0.8312020460358056,0
29,0,2,0,2.0,6,60358.666666666664,2300.0,0.0381049155341039,1
32,1,2,1,-0.5,1,4404.166666666667,3252.0,0.7382240550868298,0
37,1,1,0,-0.8333333333333334,1,919.0,919.0,0.9989130434782608,0
32,0,1,0,-1.0,0,23699.833333333332,23666.166666666668,0.9985373228789425,0
